date_booked,check_in,check_out,nights,room_type,booking_source,lead_time,occupancy_rate_at_booking,day_of_week,is_weekend,month,final_price
2024-08-14,2024-08-29,2024-09-02,4,Standard,booking.com,15,0.8435982676712164,3,0,8,141.44050258085704
2023-01-04,2023-02-08,2023-02-09,1,Suite,booking.com,35,0.8279337984075222,2,0,2,279.6107043500102
2024-06-02,2024-07-22,2024-07-29,7,Standard,booking.com,50,0.5333005169781933,0,0,7,159.22302564650255
2023-07-11,2023-08-26,2023-08-27,1,Deluxe,expedia,46,0.5292099824294804,5,1,8,290.2589104953632
2023-09-27,2023-12-08,2023-12-11,3,Deluxe,direct,72,0.5998762485248077,4,0,12,152.06202398577275
2023-12-01,2023-12-09,2023-12-11,2,Suite,expedia,8,0.9014217288689792,5,1,12,352.9167323286201
2024-06-26,2024-09-05,2024-09-10,5,Standard,airbnb,71,0.8857981847104773,3,0,9,63.529332825452784
2023-08-24,2023-09-22,2023-10-01,9,Standard,direct,29,0.7033730276954372,4,0,9,111.6631837538702
2024-10-18,2025-01-15,2025-01-20,5,Standard,expedia,89,0.5924689770844327,2,0,1,93.31292331163783
2023-02-14,2023-03-08,2023-03-14,6,Suite,direct,22,0.838971480354412,2,0,3,250.93762275534831
2023-02-21,2023-02-24,2023-02-26,2,Suite,airbnb,3,0.5390906968856025,4,0,2,405.33419465003317
2024-09-09,2024-11-22,2024-11-27,5,Standard,expedia,74,0.7097410296091484,4,0,11,73.90786085290615
2024-03-07,2024-04-01,2024-04-08,7,Deluxe,booking.com,25,0.9475856244809565,0,0,4,118.9024960640331
2024-06-25,2024-08-08,2024-08-15,7,Suite,direct,44,0.8068465770348867,3,0,8,312.2724922264568
2023-10-23,2023-11-24,2023-11-29,5,Standard,expedia,32,0.6920988830751258,4,0,11,104.95235498456087
2023-03-04,2023-04-25,2023-04-28,3,Deluxe,booking.com,52,0.9132356895355922,1,0,4,102.29922630836498
2023-11-02,2024-01-27,2024-01-31,4,Standard,direct,86,0.6424317123450629,5,1,1,113.48472927088119
2024-03-30,2024-06-27,2024-07-05,8,Suite,airbnb,89,0.626287902541746,3,0,6,288.3306550025939
2023-05-14,2023-05-15,2023-05-23,8,Deluxe,airbnb,1,0.7606358195756555,0,0,5,180.46276571340684
2023-04-23,2023-06-04,2023-06-07,3,Deluxe,booking.com,42,0.9217298789318724,6,1,6,221.31529156779683
2023-09-05,2023-11-06,2023-11-15,9,Standard,booking.com,62,0.6043177962036423,0,0,11,92.94971597723044
2023-04-11,2023-06-30,2023-07-01,1,Standard,booking.com,80,0.6880958527615486,4,0,6,115.37200356657698
2024-07-24,2024-09-07,2024-09-16,9,Standard,expedia,45,0.8038429860873539,5,1,9,88.84007371355565
2024-05-20,2024-06-06,2024-06-14,8,Standard,booking.com,17,0.5209051345097364,3,0,6,188.5912436151887
2023-10-16,2023-12-02,2023-12-09,7,Deluxe,expedia,47,0.8979702080890417,5,1,12,164.2652912488796
2023-07-16,2023-08-19,2023-08-21,2,Suite,airbnb,34,0.7644424014909525,5,1,8,425.89945294086647
2024-10-11,2024-12-07,2024-12-12,5,Suite,airbnb,57,0.8220236921761401,5,1,12,281.39423929373316
2024-03-28,2024-05-24,2024-05-29,5,Deluxe,booking.com,57,0.5203406924280816,4,0,5,159.21779461454798
2024-08-08,2024-10-24,2024-10-26,2,Standard,airbnb,77,0.8513918063187882,3,0,10,59.482549384604106
2024-07-19,2024-08-20,2024-08-27,7,Deluxe,booking.com,32,0.5221501840602022,1,0,8,264.63673564844737
2024-02-13,2024-04-09,2024-04-13,4,Deluxe,direct,56,0.8403521343629838,1,0,4,114.76217176267838
2024-12-04,2024-12-23,2024-12-24,1,Suite,booking.com,19,0.5913382334969894,0,0,12,359.0677290350242
2023-09-08,2023-09-21,2023-09-26,5,Standard,airbnb,13,0.5261099627456184,3,0,9,129.63377256194525
2024-04-09,2024-06-18,2024-06-23,5,Suite,airbnb,70,0.501635084721828,1,0,6,355.900622966582
2023-12-27,2024-03-21,2024-03-22,1,Standard,direct,85,0.6569127150221818,3,0,3,84.82672774556617
2024-07-07,2024-07-11,2024-07-15,4,Suite,booking.com,4,0.5143482659190427,3,0,7,502.8796462432983
2023-01-19,2023-04-13,2023-04-17,4,Deluxe,airbnb,84,0.8544556132379617,3,0,4,100.12103912330079
2024-02-02,2024-05-01,2024-05-04,3,Suite,booking.com,89,0.6829015492187829,2,0,5,158.163981492641
2023-01-24,2023-02-17,2023-02-24,7,Suite,expedia,24,0.7972640231850405,4,0,2,295.60678325813996
2024-01-04,2024-01-18,2024-01-25,7,Suite,direct,14,0.5261409108254642,3,0,1,386.1903566489842
2024-06-21,2024-08-11,2024-08-14,3,Deluxe,airbnb,51,0.5966719959273317,6,1,8,272.3479356055782
2024-10-15,2024-10-23,2024-10-29,6,Deluxe,booking.com,8,0.6137587314620804,2,0,10,183.54292557512096
2023-08-23,2023-09-13,2023-09-19,6,Suite,direct,21,0.7951227745148317,2,0,9,257.84548152863755
2023-04-30,2023-06-12,2023-06-19,7,Deluxe,direct,43,0.9424674195142573,0,0,6,180.18169958043228
